Title	URL	Assignees	Status	Labels
Review transitive include of e.g. "lib/vxlapi.h" in CAN_Wrapper	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/30	MikeFAU	Feature Archive	Est. size = 3, Real size = 1, Sprint 4
[MCU] Implement Real Bus in CAN Driver	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/31	sebas-rodri	Feature Archive	Est. size = 5, Real size = 8, Sprint 4
[WIN] UDS Tx	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/42	MikeFAU	Feature Archive	Est. size = 5, Real size = 3, Sprint 4
[WIN] UDS messageInterpreter (Rx)	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/41	wiklam	Feature Archive	Est. size = 5, Real size = 3, Sprint 4
Integrate CAN Wrapper with GUI	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/19	PaulRoy1	Feature Archive	Est. size = 3, Real size = 8, Sprint 3
[MCU] Build Process	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/34	ibexq	Feature Archive	Est. size = 3, Real size = 2, Sprint 3
Implement UDS Communication Specification	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/35	MikeFAU	Feature Archive	Est. size = 3, Needs Code Review, Real size = 3, Sprint 3
Document / obtain documentation for relevant part of UDS	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/21	MikeFAU	Feature Archive	Est. size = 3, Needs Code Review, Real size = 5, Sprint 3
[MCU] Create / modify existing project to demonstrate module functionality	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/25	ibexq	Feature Archive	Est. size = 3, Real size = 2, Sprint 3
[GUI] QT App Build process	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/33	wiklam	Feature Archive	Est. size = 3, Real size = 5, Sprint 3
[UI] Implement "Updating in progress" indicator	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/7	wiklam	Feature Archive	Est. size = 2, Real size = 2, Sprint 3
Design a Mockup for ECU Listing UI	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/27	wiklam	Feature Archive	Est. size = 3, Real size = 3, Sprint 3
Implement a function to select CAN-HW	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/17	wlklsn	Feature Archive	Est. size = 5, Real size = 3, Sprint 3
[MCU] CAN driver	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/10	sebas-rodri	Feature Archive	Est. size = 5, Real size = 5, Sprint 2
[MCU] LED driver	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/9	PaulRoy1	Feature Archive	Est. size = 5, Real size = 2, Sprint 2
[MCU] Flash driver	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/11	ibexq	Feature Archive	Est. size = 5, Real size = 5, Sprint 2
Create Logo	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/1	AndreasFreund	Feature Archive	Sprint 1
Get familiar with CAN-Bus, Aurix IDE, MCU programming	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/3	AndreasFreund, ibexq, MikeFAU, Nahrain1, PaulRoy1, sebas-rodri, wiklam, wlklsn	Feature Archive	Sprint 1
Create *.s19 to Binary converter	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/6	wlklsn	Feature Archive	Est. size = 3, Real size = 3, Sprint 2
Align on a GUI framework	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/4	MikeFAU, sebas-rodri, wiklam	Feature Archive	Sprint 1
Implement a function for file browsing, selecting, and simple processing	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/5	wiklam	Feature Archive	Est. size = 5, Real size = 5, Sprint 2
Create the description of the planned software architecture	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/14	ibexq, MikeFAU, PaulRoy1, sebas-rodri, wiklam, wlklsn	Feature Archive	Est. size = 3, Real size = 2, Sprint 2
[Win] CAN Wrapper	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/12	MikeFAU	Feature Archive	Est. size = 5, Real size = 5, Sprint 2
Initialize Readme file	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/15	MikeFAU	Feature Archive	documentation, Est. size = 1, Real size = 1, Sprint 2
Initialize software bill of materials	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/13	ibexq, MikeFAU, PaulRoy1, sebas-rodri, wiklam, wlklsn	Feature Archive	Est. size = 1, Real size = 1, Sprint 2
